food_id,entries_count
6620,13
40011,19
18866,25
7993,18
29054,11
41575,14
30654,19
29719,31
7833,11
31035,5
11858,15
18051,18
12799,2
7554,16
29744,20
45615,9
20135,8
14570,14
47217,15
471,11
10817,17
43688,32
29814,25
5803,8
25517,13
18944,9
34759,16
15619,18
9427,6
38220,12
23364,1
36355,3
38758,16
33412,17
29194,14
15727,13
48254,20
23336,16
7754,23
36224,16
43527,17
36131,15
1580,16
10623,10
15957,23
26087,18
43302,10
35820,25
22097,3
5156,6
44906,7
26583,5
42468,4
45011,14
22373,16
49331,18
4818,5
23271,9
11317,7
31261,8
44358,6
33569,14
45307,16
27760,4
46952,19
20497,22
32445,6
3997,14
42834,2
20683,3
23571,14
1238,19
20924,15
30361,10
12940,19
12046,12
18498,15
37111,7
31983,11
9465,9
13840,19
34061,13
9900,3
41946,15
31367,14
41751,18
11033,11
37263,6
34234,23
833,5
40107,6
17389,12
29228,8
148,15
29993,4
35694,9
38153,18
1645,13
22521,19
17420,2
6357,10
22346,17
21700,15
28836,2
35982,21
1829,9
34239,20
47711,16
45341,17
29834,12
6654,11
44596,20
18024,17
47283,4
8086,23
36538,11
36525,9
496,17
13623,18
8592,8
40386,8
1959,8
29285,18
16386,11
41890,8
20735,10
2142,13
26623,14
39285,19
24347,7
31912,14
18800,6
12471,20
7417,8
4158,10
14465,8
10703,5
37526,21
6623,16
39161,21
43256,26
10462,19
19206,9
11500,16
11316,21
45622,11
25895,7
29058,17
48711,23
49699,18
15100,15
46938,10
19669,19
22004,15
22555,20
19351,12
14075,14
37015,19
17607,8
24985,15
40542,10
19758,17
49449,14
47935,16
26200,13
31352,8
39460,13
37480,18
33762,22
42348,20
31928,17
4190,13
1483,25
45183,18
37668,6
25283,19
12715,21
19200,4
26801,16
49476,11
858,15
29827,13
38611,10
8928,14
47211,14
34878,9
23523,16
13622,17
39513,5
17172,14
15967,19
46778,5
15538,24
43741,15
16916,11
38707,27
48345,21
22021,6
36982,18
392,21
32891,21
39582,5
11710,21
36706,4
1460,14
9879,20
27118,11
23727,9
28298,16
38436,6
40199,16
15004,5
26544,10
34591,11
4161,22
19614,16
41175,17
38806,22
39069,12
30988,15
45634,21
43921,15
18595,2
10914,14
3179,13
20928,8
43270,17
46255,16
6393,6
23136,20
36106,13
46147,19
39597,7
41704,19
24728,17
19886,7
35654,12
40900,4
19873,7
47497,25
47300,6
33221,15
18956,16
21859,25
37734,5
15254,12
49197,5
27888,18
4219,17
1522,17
1395,15
29595,8
46448,11
10121,11
18282,5
3698,3
19499,11
7168,10
41265,6
44141,5
8257,8
10708,14
13483,19
46781,13
7387,11
38656,22
38146,8
9454,17
2711,9
39788,15
20467,13
37818,4
7850,18
26111,11
47573,20
1903,5
11936,20
17008,15
37409,4
34488,11
1143,13
5071,22
19023,17
2393,7
35044,16
15162,10
29177,14
41696,20
15207,16
3000,11
5173,14
31,18
22609,14
34611,14
28316,11
44553,6
46306,18
32560,24
19868,10
3213,18
1699,4
27266,9
4489,12
14289,9
32871,21
46819,13
13601,8
30617,13
13648,13
17044,17
29022,20
31285,11
41913,16
48880,17
44398,16
31435,13
17837,6
36347,9
24078,21
18502,17
25150,9
40578,15
19683,3
19131,19
8222,16
6622,13
48244,11
14377,17
8407,10
11393,21
39433,18
46362,8
15296,6
24855,12
14324,11
14837,7
24504,19
14997,21
48316,8
1303,16
38152,8
1650,6
16924,16
17751,9
26128,6
5117,21
37593,11
46608,7
48035,7
19413,21
36591,3
38297,13
42102,5
1322,9
20052,11
18503,16
3488,7
43370,6
21121,15
18221,10
10798,11
16680,23
38607,11
49503,26
39977,7
32680,16
26619,19
15173,15
25106,13
41126,5
34569,6
33607,3
3704,14
19619,22
20120,20
20247,1
17775,6
48979,17
26646,7
37657,27
35794,20
16283,17
31031,1
30330,13
516,3
4391,13
31350,23
5287,18
16534,21
44884,14
36819,21
6559,6
32622,16
26769,5
27609,24
45895,5
19021,7
32291,6
49696,13
40256,7
39671,18
34495,17
17437,18
35184,17
44740,16
36098,29
28893,2
31161,10
20481,16
18838,19
2721,17
26736,18
42397,21
12292,13
3490,14
2443,24
18828,8
34450,20
44776,8
22225,7
37152,4
137,20
44588,7
49429,14
27977,5
27856,14
19161,11
17712,19
11630,10
23193,11
33337,27
28584,18
18746,6
38651,3
13508,13
40165,21
41037,24
23367,21
44691,18
12366,18
2525,15
45978,12
9169,6
13916,9
49171,21
26335,19
10768,18
42754,16
14809,23
32554,8
49814,12
37864,11
31988,10
1975,15
15604,15
34029,20
3220,12
35371,21
4239,27
38910,23
39827,7
38581,3
26375,8
5074,17
27030,19
21545,10
29305,26
13465,14
251,15
8650,12
36559,17
23658,20
36069,6
43109,19
33615,18
33690,10
27194,16
27480,16
30802,6
43260,13
20170,17
4684,26
45030,18
47622,5
45621,4
44505,3
451,11
31689,6
1265,11
31872,11
40261,10
32786,13
40824,25
41530,25
7120,17
16828,13
15575,18
40132,9
18759,6
27602,3
32102,13
35927,2
6962,14
37056,20
49692,15
3834,8
20388,16
4957,19
41768,19
30965,24
17836,14
38946,15
2249,19
22652,4
38138,21
26589,10
4307,19
18614,22
40670,14
19149,14
21389,15
11745,24
4383,15
33197,7
23362,17
20898,28
39167,10
42132,3
12322,12
34195,4
39357,4
16117,20
33854,15
17154,16
6154,21
883,7
19067,16
26480,16
18529,15
4000,12
8211,21
13225,28
27228,24
8716,12
20195,21
28343,5
27042,24
26015,17
30320,14
47744,15
8665,3
26965,12
30333,13
16232,26
18334,16
41838,15
37036,19
44807,16
42609,16
28505,4
3377,15
9206,10
13329,20
39259,20
8501,13
40292,21
21978,18
9403,15
32546,13
36100,13
14713,9
45783,14
36533,16
27633,15
38250,7
5513,18
47434,5
27361,15
29098,12
29061,23
35626,13
2096,8
35294,8
24578,17
31381,8
11482,16
31317,8
10788,18
42381,8
21769,21
17190,11
42589,12
2655,15
13398,9
9153,10
38883,6
15960,11
10840,13
16706,5
9647,13
37175,13
46274,14
39971,8
49882,15
32804,14
43007,4
25742,14
8678,29
5217,4
28331,16
39859,7
2924,19
38827,19
40459,16
35756,8
39696,6
39139,19
11352,19
46980,9
24139,7
2622,16
13795,15
23286,3
23284,15
6301,6
25520,9
33751,6
24258,17
21151,15
13504,11
48729,16
45629,3
18328,10
35331,9
25862,19
11928,11
5907,20
49310,19
42540,14
12210,13
43286,8
42167,8
44942,2
42817,11
7324,7
15146,14
7892,14
15462,16
37412,19
40590,23
32473,17
45248,5
38627,15
32061,12
9575,16
25948,22
4357,21
34780,13
15070,14
29328,13
32945,20
36759,14
30745,19
25355,22
45850,15
27822,5
16295,20
25904,11
42280,7
6864,16
6176,21
16506,9
37389,15
588,10
41065,20
1157,9
12264,17
6937,18
10416,24
39037,23
16526,14
21383,21
37308,6
25923,11
31697,30
37777,6
22236,19
25628,12
39488,15
4477,7
30837,23
20542,20
32290,13
40391,22
898,8
43689,3
49828,7
22787,14
21484,9
38437,7
26921,14
49914,20
3042,27
12207,21
3790,12
19998,9
21667,15
26746,5
15026,17
34823,13
2559,16
40655,18
22903,9
46916,13
10597,2
24482,21
30540,8
4092,4
799,8
13997,14
49678,12
29960,19
42666,8
24787,10
31207,11
18881,4
5847,18
39409,9
20671,4
14054,17
41780,3
8701,5
46483,21
15221,16
481,5
25864,28
24407,22
26729,15
20124,33
970,15
37713,17
35454,16
17438,17
14458,6
21303,22
18307,28
24633,23
48530,16
6832,10
44819,7
41845,23
16985,22
42661,9
21603,14
21077,25
45627,4
31309,15
43675,17
36237,19
10257,16
25259,16
7567,5
19965,1
44636,4
20789,21
39420,13
16027,6
43177,8
26119,9
20717,16
21307,7
7109,4
45019,11
11143,12
47455,2
19690,10
22116,6
6866,7
19833,21
5995,6
34416,12
38928,14
10128,8
37162,1
8950,14
38704,13
4859,27
31319,15
33589,17
17378,26
5670,21
34247,34
20982,16
45684,5
4396,14
14812,19
28778,15
19066,12
19092,21
29206,13
48289,13
38452,10
46450,12
40496,7
42430,16
8249,11
6376,6
29011,10
4291,20
12530,4
48065,18
1888,11
13544,5
25831,17
19335,17
2542,14
22389,9
14477,13
18405,5
8612,19
49267,17
14245,10
22068,19
15216,15
472,1
3306,12
46477,12
8450,13
8857,15
32866,18
24299,9
8482,20
38427,14
25820,18
27472,16
19733,23
45677,1
26434,23
37497,20
5929,4
49318,11
47178,18
5140,20
40131,18
31991,7
18966,9
48409,10
17782,24
49202,15
16724,17
42988,11
33965,5
